"","chain","mouse","phenotype","sample","Dim.1","Dim.2"
"1","alpha","6","CD4_negS","M6A_CD4_negS",7.8306545468067,0.0246829131469787
"2","alpha","6","CD4_spl","M6A_CD4_spl",8.25196251448397,0.4722155340071
"3","alpha","6","CD8_negS","M6A_CD8_negS",-2.95347335720526,-4.76880171986787
"4","alpha","6","CD8_spl","M6A_CD8_spl",-4.36502503025563,-3.6262846910006
"5","alpha","6","DP_DBN","M6A_DP_DBN",-3.07698264071772,6.43341318474474
"6","alpha","6","DP_pos","M6A_DP_pos",0.531481834034223,-0.356912409486495
"7","alpha","6","DP_pre","M6A_DP_pre",-2.535560969672,4.82281436664028
"8","alpha","8","CD4_negS","M8A_CD4_negS",5.77126126599938,-1.91488160855224
"9","alpha","8","CD4_spl","M8A_CD4_spl",5.63061516043774,0.0826129097314268
"10","alpha","8","CD8_negS","M8A_CD8_negS",-3.79546514674382,-5.79633179095533
"11","alpha","8","CD8_spl","M8A_CD8_spl",-4.21709141123896,-4.91403505739368
"12","alpha","8","DP_DBN","M8A_DP_DBN",-2.16317835427246,2.50981326098469
"13","alpha","8","DP_pos","M8A_DP_pos",1.38947344871603,-2.58523134683361
"14","alpha","8","DP_pre","M8A_DP_pre",-1.74714653300028,2.21717902532966
"15","alpha","9","CD4_negS","M9A_CD4_negS",5.9425580660858,-0.775709203737958
"16","alpha","9","CD4_spl","M9A_CD4_spl",6.94194464674269,0.951273635284595
"17","alpha","9","CD8_negS","M9A_CD8_negS",-4.40632714245653,-4.35630757624347
"18","alpha","9","CD8_spl","M9A_CD8_spl",-3.15504226735278,-4.0801011648048
"19","alpha","9","DP_DBN","M9A_DP_DBN",-3.77909867112732,7.0611105313003
"20","alpha","9","DP_pos","M9A_DP_pos",0.75467922864212,0.0856181816795871
"21","alpha","9","DP_pre","M9A_DP_pre",-3.10516740550201,5.33153233288152
"22","alpha","P","Pgen","Pgen",-3.7450717824039,3.18233069314517
"23","beta","P","Pgen","Pgen",-3.7450717824039,3.18233069314517
