,gen,gen err,DP pre,DP pre err,DP dbn,DP dbn err,DP pos,DP pos err,CD4 spl,CD4 spl err,CD4 negS,CD4 negS err,CD8 spl,CD8 spl err,CD8 negS,CD8 negS err
TRAV12-2,0.10172333333333333,0.0006112036482160366,0.09294583883751652,0.0011584208252551217,0.08747674827811573,0.002186895327689738,0.09660841047781145,0.0009378618421764877,0.06766514086530175,0.0011762799737763917,0.06317192358951577,0.0024428176577963624,0.10690659259557451,0.0012601219194725765,0.10114942528735632,0.005060112931439758
TRAV6-6,0.06877666666666667,0.0004949979681589426,0.062324966974900926,0.0009352156871812229,0.061937559700367,0.0018184368655400802,0.05498775374652331,0.0006940045388009997,0.06253231953727999,0.001128064728326679,0.07658818302976454,0.0027066552199621094,0.07000523328368423,0.0010025661555849838,0.06574712643678161,0.004013477612391384
TRAV6-5,0.04484333333333333,0.0003951972413777614,0.04841479524438573,0.0008188562733105527,0.05117892514202403,0.0016445822334177536,0.033077338204159576,0.0005326443275915813,0.035987206251316725,0.0008450101760538311,0.034207019102621056,0.0017729178227612824,0.031815681064906134,0.000663707170013205,0.03264367816091954,0.0027837495545955794
TRAV7-5,0.029536666666666666,0.0003183765137089755,0.04420079260237781,0.000780834687604656,0.03715248102156754,0.0013918322879113666,0.03261239569928183,0.0005287685674003636,0.030873537241683107,0.0007807402461003826,0.03349622390048867,0.0017537982115079867,0.03711605812970492,0.0007187029668984764,0.03264367816091954,0.0027837495545955794
TRAV13D-1,0.02928,0.00031695067124081,0.031122853368560105,0.0006510989122490141,0.03157206776934292,0.0012795963468013333,0.028967578562829506,0.000497465027028587,0.026085457644647883,0.0007159812890261763,0.02558862727676588,0.001526994042588819,0.032245078700535404,0.0006683100104568816,0.03218390804597701,0.002763460764767838
TRAV13-2,0.028086666666666666,0.0003102446750072761,0.02478203434610304,0.0005792103171091082,0.022673570961741493,0.0010796927119391426,0.024475901863921293,0.00045627412112691904,0.02535766954589853,0.0007056722467804926,0.031808085295424254,0.0017076366897040968,0.0272935872146854,0.0006133839858441255,0.022528735632183907,0.0023012380256916855
TRAV7-2,0.02617,0.00029919262969977495,0.04147952443857331,0.0007554301475822475,0.03313056156050475,0.0013117881225712044,0.05190750965170825,0.0006733013519452983,0.06521364411161971,0.0011534486664162528,0.07552199022656597,0.002686418136103455,0.04948807750627323,0.0008348219919015361,0.046206896551724136,0.0033336312685472327
TRAV16D/DV11,0.02518,0.00029333730527613885,0.028996036988110964,0.0006278100069895194,0.038610426826202804,0.001419875716646232,0.04411972269500602,0.0006184393980151272,0.0203780667649819,0.0006310630094545428,0.021590404264771212,0.0013998968617554874,0.04034995907303785,0.0007505266392153147,0.07310344827586207,0.004246636598145513
TRAV3-4,0.024606666666666666,0.00028989742272690817,0.010911492734478204,0.00038172509435994035,0.01025589462571012,0.0007217290111853871,0.01550085101083482,0.00036151267512980024,0.013962040104954705,0.0005207100564420453,0.011728120835184363,0.0010267704867570257,0.024086523623579298,0.0005753209944544627,0.02160919540229885,0.0022527711021482827
TRAV10,0.0244,0.0002886483442991951,0.022087186261558783,0.000546092521212352,0.024433160725956464,0.0011217687342803028,0.02980613558055544,0.0005048195738072158,0.03884090169114971,0.0008790829328419898,0.03607285650821857,0.0018222697482889836,0.027132563101324423,0.0006115239843436693,0.029425287356321838,0.0026388405191658916
TRAV3-1,0.024236666666666667,0.0002876576824269765,0.011955085865257595,0.00039976892174931343,0.01281986828213765,0.0008079408724133362,0.015708414629083813,0.00036396222829584735,0.014574914293375213,0.0005321765591821585,0.015904042647712127,0.0011981394290888291,0.02081236665190612,0.0005339351726716051,0.016551724137931035,0.0019667163665960065
TRAV8-1,0.024143333333333333,0.00028709019417700877,0.01869220607661823,0.0005015379865739034,0.016288773817304307,0.000912272223523361,0.02141226285856615,0.0004261254068691871,0.024840556949418727,0.0006982637440931744,0.027099067081297203,0.001572572177512058,0.02299961085839271,0.0005618919543009814,0.02666666666666667,0.0025087331499942253
TRAV13N-1,0.023506666666666665,0.0002831915137878984,0.022826948480845443,0.0005553631639100418,0.024935900658589312,0.001133528838443267,0.01895470961849807,0.0004004438427082311,0.013157642732652788,0.0005052871267293997,0.014926699244780097,0.0011601829538747338,0.01979254726728661,0.0005204291301782153,0.017701149425287357,0.002035008549574726
TRAV13-1,0.023376666666666667,0.00028238941913081135,0.021955085865257597,0.0005444218348138142,0.02543864059122216,0.0011451792764464567,0.013757316617543277,0.00034028239363624195,0.012257483768410167,0.0004874800398405728,0.013505108840515326,0.001102780976577871,0.015136266655931726,0.0004540737458358761,0.01310344827586207,0.0017469282487670437
