gene,anchor_index,function
TRAJ11*01,25,F
TRAJ12*01,25,F
TRAJ13*01,23,F
TRAJ15*01,26,F
TRAJ16*01,27,F
TRAJ17*01,29,F
TRAJ18*01,32,F
TRAJ19*01,27,ORF
TRAJ2*01,32,F
TRAJ20*01,23,P
TRAJ21*01,23,F
TRAJ22*01,26,F
TRAJ23*01,26,F
TRAJ24*01,28,F
TRAJ25*01,23,ORF
TRAJ26*01,26,F
TRAJ27*01,25,F
TRAJ28*01,31,F
TRAJ29*01,26,ORF
TRAJ3*01,28,P
TRAJ30*01,25,F
TRAJ31*01,23,F
TRAJ32*01,32,F
TRAJ33*01,23,F
TRAJ34*01,24,F
TRAJ35*01,28,F
TRAJ37*01,26,F
TRAJ38*01,28,F
TRAJ39*01,29,F
TRAJ4*02,29,F
TRAJ40*01,27,F
TRAJ41*01,22,ORF
TRAJ42*01,30,F
TRAJ43*01,23,F
TRAJ44*01,27,ORF
TRAJ45*01,29,F
TRAJ46*01,27,P
TRAJ47*01,23,ORF
TRAJ48*01,27,F
TRAJ49*01,25,F
TRAJ5*01,28,F
TRAJ50*01,29,F
TRAJ52*01,32,F
TRAJ53*01,32,F
TRAJ56*01,29,F
TRAJ57*01,29,F
TRAJ58*01,29,F
TRAJ59*01,27,P
TRAJ6*01,28,F
TRAJ7*01,25,ORF
TRAJ9*01,24,F
